,actor,ciudad,nombres
0,daniel albaladejo,['Murcia'],
1,daniel albaladejo,[],
2,daniel albaladejo,[],Vicente Fuentes
3,daniel albaladejo,[],Will Keen
4,daniel albaladejo,[],Francisco Torres
5,daniel albaladejo,[],Teatro Contemporáneo
6,daniel albaladejo,[],Norman Taylor
7,daniel albaladejo,[],Expresión Dramática
8,daniel albaladejo,[],Antón Valén
9,enrique asenjo,[],Dramaturgia Teatral
10,enrique asenjo,[],Sanchís Sinisterra
11,enrique asenjo,[],Mariano Barroso
12,enrique asenjo,[],Raquel Pérez
13,enrique asenjo,[],Dramaturgia Teatral
14,enrique asenjo,[],Mauricio Kartún
15,enrique asenjo,[],Dramaturgia Teatral
16,enrique asenjo,[],Eduardo Recabarren
17,enrique asenjo,[],Dramaturgia Teatral
18,enrique asenjo,[],Bernardo Kappa
19,enrique asenjo,[],Adriano Urissevich
20,enrique asenjo,['Rota'],Cristina Rota
21,enrique asenjo,[],
22,jacobo camarena,[],Javier Cifrián
23,jacobo camarena,[],
24,jacobo camarena,[],
25,jacobo camarena,[],Salvador Calvo
26,jacobo camarena,[],Carlos Sedes
27,jacobo camarena,[],Tonucha Vidal
28,jacobo camarena,[],Montxo Armendáriz
29,jacobo camarena,[],Gracia Querejeta
30,jacobo camarena,[],Déborah Borqué
31,jacobo camarena,[],Inma Torrente
32,jacobo camarena,[],Jesús Font
33,jacobo camarena,[],Marga Rodríguez
34,jacobo camarena,[],Andrés Cuenca
35,jacobo camarena,[],Antonio Recio
36,jacobo camarena,[],Paula Cámara
37,pedro carvalho,[],Casting Director
38,pedro carvalho,[],Luci Lenox
39,pedro carvalho,[],Casting Director
40,pedro carvalho,[],Manuel Puro
41,pedro carvalho,['Madrid'],Andrea Mizes
42,pedro carvalho,['Madrid'],Estudio Corazza
43,pedro carvalho,[],
44,pedro carvalho,[],
45,jason day,[],Buenos Aires
46,jason day,[],Aquila Morong
47,jason day,[],Los Ángeles
48,jason day,[],Deb Aquila
49,jason day,[],Ron Burrus
50,jason day,[],Julie Adams
51,prince ezeanyim,[],Escuela Superior
52,prince ezeanyim,[],Arte Dramático
53,prince ezeanyim,[],Estudio Corazza
